"dishid";"Rating";"authorid";"comment";"date";"id"
0;"5";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";0
2;"4.5";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";1
5;"4.8";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";3
14;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";4
2;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";5
8;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";6
6;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";7
11;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";9
13;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";10
17;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";11
19;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";12
20;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";13
15;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";14
6;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";15
12;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";16
7;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";17
4;"4.3";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";18
16;"4.8";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";19
10;"4.8";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";20
1;"4.8";"John Lemon";"Imagine all the eatables, living in conFusion!";"2012-10-16T17:57:28.556094Z";21
